destination_id,nr_listings,from_price,currency_code,parent_id1,type1,slug1,parent_id2,type2,slug2,parent_id3,type3,slug3,concat,name
2795,26,72900,EUR,2354,state,buleleng,2805,country,indonesia,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/indonesia/buleleng,Buleleng
3544,7,30100,EUR,2968,country,bulgaria,0,continent,europe,NULL,NULL,NULL,www.bookyogaretreats.com/all/d/europe/bulgaria,Bulgaria
2452,5,184500,USD,2805,country,burma,0,continent,asia-and-oceania,NULL,NULL,NULL,www.bookyogaretreats.com/all/d/asia-and-oceania/burma,Burma
806,20,22000,AUD,2722,state,byron-bay,2805,country,australia,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/australia/byron-bay,Byron Bay
2424,4,124900,AUD,2722,state,byron-shire,2805,country,australia,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/australia/byron-shire,Byron Shire
704,4,18000,USD,3496,state,cabarete,3490,country,dominican-republic,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/dominican-republic/cabarete,Cabarete
2633,6,132000,USD,2650,state,cabo-san-lucas,3490,country,mexico,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/mexico/cabo-san-lucas,Cabo San Lucas
34,12,46000,USD,3340,state,cabuya,3490,country,costa-rica,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/costa-rica/cabuya,Cabuya
1696,4,51200,GBP,2675,state,caceres,2968,country,spain,0,continent,europe,www.bookyogaretreats.com/all/d/europe/spain/caceres,Caceres
1999,20,19500,EUR,2675,state,cadiz,2968,country,spain,0,continent,europe,www.bookyogaretreats.com/all/d/europe/spain/cadiz,Cadiz
4565,3,21000,EUR,2826,state,cadzand,2968,country,netherlands,0,continent,europe,www.bookyogaretreats.com/all/d/europe/netherlands/cadzand,Cadzand
3302,6,82800,USD,3340,state,cahuita,3490,country,costa-rica,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/costa-rica/cahuita,Cahuita
