Ad state,Ad,Description line 1,Description line 2,Display URL,Final URL,Device preference type,Campaign,Ad group,Ad type
enabled,Best Yoga Retreats 2016,4 Deals in Boca Raton!,Compare and Book from Top Packages,www.BookYogaRetreats.com/BocaRaton,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/usa/boca-raton,All,Longtail USA - Boca Raton,Longtail Retreats Boca Raton,Text ad
enabled,Best Yoga Retreats 2016,22 Deals in Sicily!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Sicily,www.bookyogaretreats.com/all/d/europe/italy/sicily,All,Longtail Italy - Sicily,Longtail Retreats Sicily,Text ad
enabled,Best Yoga Retreats 2016,59 Deals in Canggu!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Canggu,www.bookyogaretreats.com/all/d/asia-and-oceania/indonesia/canggu,All,Longtail Indonesia - Canggu,Longtail Retreats Canggu,Text ad
enabled,Best Yoga Retreats 2016,9 Deals in Maui!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Maui,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/usa/maui,All,Longtail USA - Maui,Longtail Retreats Maui,Text ad
enabled,Best Yoga Retreats 2016,3 Deals in Bavaria!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Bavaria,www.bookyogaretreats.com/all/d/europe/germany/bavaria,All,Longtail Germany - Bavaria,Longtail Retreats Bavaria,Text ad
enabled,Best Yoga Retreats 2016,3 Deals in Dorset!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Dorset,www.bookyogaretreats.com/all/d/europe/united-kingdom/dorset,All,Longtail United Kingdom - Dorset,Longtail Retreats Dorset,Text ad
enabled,Best Yoga Retreats 2016,8 Deals in San Pablo!,Compare and Book from Top Packages,www.BookYogaRetreats.com/SanPablo,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/costa-rica/san-pablo,All,Longtail Costa Rica - San Pablo,Longtail Retreats San Pablo,Text ad
enabled,Best Yoga Retreats 2016,6 Deals in Kep!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Kep,www.bookyogaretreats.com/all/d/asia-and-oceania/cambodia/kep,All,Longtail Cambodia - Kep,Longtail Retreats Kep,Text ad
enabled,Best Yoga Retreats 2016,3 Deals in Berkshire!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Berkshire,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/usa/berkshire,All,Longtail USA - Berkshire,Longtail Retreats Berkshire,Text ad
enabled,Best Yoga Retreats 2016,4 Deals in Sant Joan de Labritja!,Compare and Book from Top Packages,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/europe/spain/sant-joan-de-labritja,All,Longtail Spain - Sant Joan de Labritja,Longtail Retreats Sant Joan de Labritja,Text ad
