Keyword state,Keyword,Match type,Campaign,Ad group,Keyword max CPC,Ad group max CPC
enabled,[yoga centers resort in Carrapateira],Exact,Longtail Portugal - Carrapateira,Longtail Retreats Carrapateira,0.2,0.1
enabled,[yoga vacation in Krakow],Exact,Longtail Poland - Krakow,Longtail Retreats Krakow,0.2,0.1
enabled,[yoga centre packages in Sainte Colombe sur l'Hers],Exact,Longtail France - Sainte-Colombe-sur-l'Hers,Longtail Retreats Sainte-Colombe-sur-l'Hers,0.2,0.1
enabled,[Lima yoga center retreat],Exact,Longtail Peru - Lima,Longtail Retreats Lima,0.25,0.1
enabled,[yoga packages retreat Dartmoor],Exact,Longtail United Kingdom - Dartmoor,Longtail Retreats Dartmoor,0.2,0.1
enabled,[yoga camps resort in Amorgos],Exact,Longtail Greece - Amorgos,Longtail Retreats Amorgos,0.2,0.1
enabled,[yoga centre packages in Merzouga],Exact,Longtail Morocco - Merzouga,Longtail Retreats Merzouga,0.25,0.1
enabled,[yoga centres retreat in Languedoc Roussillon],Exact,Longtail France - Languedoc-Roussillon,Longtail Retreats Languedoc-Roussillon,0.25,0.1
enabled,[yoga trainings package Taling Ngam],Exact,Longtail Thailand - Taling Ngam,Longtail Retreats Taling Ngam,0.2,0.1
enabled,[yoga vacation packages in Mysore],Exact,Longtail India - Mysore,Longtail Retreats Mysore,0.2,0.1
enabled,[North Yorkshire yoga centre retreats],Exact,Longtail United Kingdom - North Yorkshire,Longtail Retreats North Yorkshire,0.25,0.1
enabled,[Puerto Princesa yoga resorts packages],Exact,Longtail Philippines - Puerto Princesa,Longtail Retreats Puerto Princesa,0.2,0.1
enabled,[yoga trainings retreat in Frome],Exact,Longtail United Kingdom - Frome,Longtail Retreats Frome,0.2,0.1
enabled,[Paphos yoga vacations packages],Exact,Longtail Cyprus - Paphos,Longtail Retreats Paphos,0.25,0.1
enabled,[yoga camps packages Adriatic Sea],Exact,Longtail Croatia - Adriatic Sea,Longtail Retreats Adriatic Sea,0.3,0.1
enabled,[Gianyar yoga retreats package],Exact,Longtail Indonesia - Gianyar,Longtail Retreats Gianyar,0.45,0.1
enabled,[yoga centre resort Tambon Maret],Exact,Longtail Thailand - Tambon Maret,Longtail Retreats Tambon Maret,0.25,0.1
enabled,[Cavriglia yoga centre resorts],Exact,Longtail Italy - Cavriglia,Longtail Retreats Cavriglia,0.2,0.1
enabled,[Urubamba yoga package deal],Exact,Longtail Peru - Urubamba,Longtail Retreats Urubamba,0.25,0.1
enabled,[Amantani yoga vacation deal],Exact,Longtail Peru - Amantani,Longtail Retreats Amantani,0.2,0.1
enabled,[yoga training packages Amieira],Exact,Longtail Portugal - Amieira,Longtail Retreats Amieira,0.25,0.1
enabled,[yoga centre retreats Karnataka],Exact,Longtail India - Karnataka,Longtail Retreats Karnataka,0.3,0.1
enabled,[yoga centre deals in Asturias],Exact,Longtail Spain - Asturias,Longtail Retreats Asturias,0.25,0.1
enabled,[yoga centers package in Canada],Exact,Longtail Canada,Longtail Retreats Canada,0.45,0.1
enabled,[yoga vacations retreat in Carrizal],Exact,Longtail Costa Rica - Carrizal,Longtail Retreats Carrizal,0.2,0.1
enabled,[yoga retreat Patnem Beach],Exact,Longtail India - Patnem Beach,Longtail Retreats Patnem Beach,0.3,0.1
enabled,[yoga trainings package La Libertad],Exact,Longtail El Salvador - La Libertad,Longtail Retreats La Libertad,0.2,0.1
enabled,[yoga vacation retreats Chiang Mai],Exact,Longtail Thailand - Chiang Mai,Longtail Retreats Chiang Mai,0.35,0.1
enabled,[yoga camps package in Denpasar],Exact,Longtail Indonesia - Denpasar,Longtail Retreats Denpasar,0.25,0.1
enabled,[yoga retreats in Riviera Maya],Exact,Longtail Mexico - Riviera Maya,Longtail Retreats Riviera Maya,0.3,0.1
