Keyword state,Keyword,Match type,Campaign,Ad group,Keyword max CPC,Ad group max CPC
enabled,[yoga training resorts in Berjaya Hills],Exact,Longtail Malaysia - Berjaya Hills,Longtail Retreats Berjaya Hills,0.35,0.1
enabled,[yoga retreats resorts Gwynedd],Exact,Longtail United Kingdom - Gwynedd,Longtail Retreats Gwynedd,0.2,0.1
enabled,[yoga camps resort New South Wales],Exact,Longtail Australia - New South Wales,Longtail Retreats New South Wales,0.45,0.1
enabled,[yoga centre resort Huesca],Exact,Longtail Spain - Huesca,Longtail Retreats Huesca,0.25,0.1
enabled,[yoga resort in Dubrovnik Neretva County],Exact,Longtail Croatia - Dubrovnik-Neretva County,Longtail Retreats Dubrovnik-Neretva County,0.2,0.1
enabled,[yoga centres resorts Taranto],Exact,Longtail Italy - Taranto,Longtail Retreats Taranto,0.2,0.1
enabled,[Koh Samui yoga trainings packages],Exact,Longtail Thailand - Koh Samui,Longtail Retreats Koh Samui,0.5,0.1
enabled,[Playa Guiones yoga centers resort],Exact,Longtail Costa Rica - Playa Guiones,Longtail Retreats Playa Guiones,0.2,0.1
enabled,[yoga resort packages in Barbados],Exact,Longtail Barbados,Longtail Retreats Barbados,0.2,0.1
enabled,[yoga camps deals Baja California Sur],Exact,Longtail Mexico - Baja California Sur,Longtail Retreats Baja California Sur,0.25,0.1
enabled,[yoga vacations retreats in Arizona],Exact,Longtail USA - Arizona,Longtail Retreats Arizona,0.3,0.1
enabled,[yoga packages resorts in New Hampshire],Exact,Longtail USA - New Hampshire,Longtail Retreats New Hampshire,0.2,0.1
enabled,[yoga training resort Berkshire],Exact,Longtail USA - Berkshire,Longtail Retreats Berkshire,0.2,0.1
enabled,[yoga package retreats in Kata Beach],Exact,Longtail Thailand - Kata Beach,Longtail Retreats Kata Beach,0.3,0.1
enabled,[yoga centre package in San José],Exact,Longtail Costa Rica - San José,Longtail Retreats San José,0.25,0.1
enabled,[Byron Bay yoga package resort],Exact,Longtail Australia - Byron Bay,Longtail Retreats Byron Bay,0.35,0.1
enabled,[yoga trainings deal in Illinois],Exact,Longtail USA - Illinois,Longtail Retreats Illinois,0.25,0.1
enabled,[yoga centre retreat in Amalfi Coast],Exact,Longtail Italy - Amalfi Coast,Longtail Retreats Amalfi Coast,0.2,0.1
enabled,[Basque Country yoga trainings retreat],Exact,Longtail Spain - Basque Country,Longtail Retreats Basque Country,0.25,0.1
enabled,[yoga vacations deals Jalisco],Exact,Longtail Mexico - Jalisco,Longtail Retreats Jalisco,0.25,0.1
enabled,[French Riviera Cote d'Azur yoga centres package],Exact,Longtail France - French Riviera-Cote d'Azur,Longtail Retreats French Riviera-Cote d'Azur,0.2,0.1
enabled,[yoga centers package in Sicily],Exact,Longtail Italy - Sicily,Longtail Retreats Sicily,0.35,0.1
enabled,[yoga resort deals in Thessaloniki],Exact,Longtail Greece - Thessaloniki,Longtail Retreats Thessaloniki,0.2,0.1
enabled,[Puerto Jiménez yoga centre retreat],Exact,Longtail Costa Rica - Puerto Jiménez,Longtail Retreats Puerto Jiménez,0.2,0.1
enabled,[Totana yoga retreat deals],Exact,Longtail Spain - Totana,Longtail Retreats Totana,0.2,0.1
enabled,[South Australia yoga resorts],Exact,Longtail Australia - South Australia,Longtail Retreats South Australia,0.2,0.1
enabled,[yoga package retreats Sluis],Exact,Longtail Netherlands - Sluis,Longtail Retreats Sluis,0.2,0.1
enabled,[yoga vacation New England],Exact,Longtail USA - New England,Longtail Retreats New England,0.25,0.1
enabled,[Madeira yoga vacation packages],Exact,Longtail Portugal - Madeira,Longtail Retreats Madeira,0.2,0.1
enabled,[Gianyar yoga packages resort],Exact,Longtail Indonesia - Gianyar,Longtail Retreats Gianyar,0.45,0.1
enabled,[Dehradun yoga deals retreats],Exact,Longtail India - Dehradun,Longtail Retreats Dehradun,0.3,0.1
enabled,[yoga retreat package Puna],Exact,Longtail USA - Puna,Longtail Retreats Puna,0.25,0.1
enabled,[Bergen yoga package resorts],Exact,Longtail Netherlands - Bergen,Longtail Retreats Bergen,0.2,0.1
enabled,[Koh Lanta yoga trainings deal],Exact,Longtail Thailand - Koh Lanta,Longtail Retreats Koh Lanta,0.2,0.1
enabled,[yoga camp packages in Limoges],Exact,Longtail France - Limoges,Longtail Retreats Limoges,0.2,0.1
enabled,[yoga resort packages Orgiva],Exact,Longtail Spain - Orgiva,Longtail Retreats Orgiva,0.3,0.1
enabled,[yoga resort in Petra],Exact,Longtail Jordan - Petra,Longtail Retreats Petra,0.2,0.1
enabled,[yoga resort deals in Haute Savoie],Exact,Longtail France - Haute-Savoie,Longtail Retreats Haute-Savoie,0.25,0.1
enabled,[Turkey yoga camps retreat],Exact,Longtail Turkey,Longtail Retreats Turkey,0.4,0.1
enabled,[yoga retreat resort Sedona],Exact,Longtail USA - Sedona,Longtail Retreats Sedona,0.25,0.1
enabled,[yoga package in Tabanan],Exact,Longtail Indonesia - Tabanan,Longtail Retreats Tabanan,0.25,0.1
enabled,[yoga retreat deal North Bali],Exact,Longtail Indonesia - North Bali,Longtail Retreats North Bali,0.3,0.1
enabled,[Skyros yoga centre resort],Exact,Longtail Greece - Skyros,Longtail Retreats Skyros,0.25,0.1
enabled,[Mimizan yoga vacations resort],Exact,Longtail France - Mimizan,Longtail Retreats Mimizan,0.2,0.1
enabled,[Da Nang yoga centres retreats],Exact,Longtail Vietnam - Da Nang,Longtail Retreats Da Nang,0.2,0.1
enabled,[South Goa yoga centres resort],Exact,Longtail India - South Goa,Longtail Retreats South Goa,0.45,0.1
enabled,[Luxembourg yoga retreat deal],Exact,Longtail Belgium - Luxembourg,Longtail Retreats Luxembourg,0.2,0.1
enabled,[yoga camps deals Maharashtra],Exact,Longtail India - Maharashtra,Longtail Retreats Maharashtra,0.2,0.1
enabled,[Pocatky yoga centers resort],Exact,Longtail Czech Republic - Pocatky,Longtail Retreats Pocatky,0.25,0.1
enabled,[yoga centres packages in Seaford],Exact,Longtail United Kingdom - Seaford,Longtail Retreats Seaford,0.2,0.1
enabled,[yoga resort retreat in Veraguas],Exact,Longtail Panama - Veraguas,Longtail Retreats Veraguas,0.2,0.1
enabled,[yoga camps package New Providence],Exact,Longtail Bahamas - New Providence,Longtail Retreats New Providence,0.2,0.1
enabled,[Mykonos yoga center deal],Exact,Longtail Greece - Mykonos,Longtail Retreats Mykonos,0.2,0.1
enabled,[Laem Sor Beach yoga retreat resort],Exact,Longtail Thailand - Laem Sor Beach,Longtail Retreats Laem Sor Beach,0.3,0.1
enabled,[Pescosolido yoga centres packages],Exact,Longtail Italy - Pescosolido,Longtail Retreats Pescosolido,0.2,0.1
enabled,[Flemish Brabant yoga package],Exact,Longtail Belgium - Flemish Brabant,Longtail Retreats Flemish Brabant,0.2,0.1
enabled,[yoga centers packages Nai Harn Beach],Exact,Longtail Thailand - Nai Harn Beach,Longtail Retreats Nai Harn Beach,0.2,0.1
enabled,[yoga center packages South West England],Exact,Longtail United Kingdom - South West England,Longtail Retreats South West England,0.25,0.1
enabled,[yoga center deals in Todos Santos],Exact,Longtail Mexico - Todos Santos,Longtail Retreats Todos Santos,0.25,0.1
enabled,[yoga package resort Emilia Romagna],Exact,Longtail Italy - Emilia-Romagna,Longtail Retreats Emilia-Romagna,0.2,0.1
enabled,[Morzine yoga centres packages],Exact,Longtail France - Morzine,Longtail Retreats Morzine,0.2,0.1
enabled,[yoga deal retreat Caceres],Exact,Longtail Spain - Caceres,Longtail Retreats Caceres,0.2,0.1
enabled,[yoga vacation packages in Panama],Exact,Longtail Panama,Longtail Retreats Panama,0.3,0.1
enabled,[Playa Negra yoga vacations deals],Exact,Longtail Costa Rica - Playa Negra,Longtail Retreats Playa Negra,0.25,0.1
enabled,[yoga centres deals in Balearic Islands],Exact,Longtail Spain - Balearic Islands,Longtail Retreats Balearic Islands,0.55,0.1
enabled,[yoga retreat resorts Corfu],Exact,Longtail Greece - Corfu,Longtail Retreats Corfu,0.25,0.1
enabled,[yoga centre deals in Chirripó],Exact,Longtail Costa Rica - Chirripó,Longtail Retreats Chirripó,0.2,0.1
enabled,[yoga vacations retreat in Kabak],Exact,Longtail Turkey - Kabak,Longtail Retreats Kabak,0.2,0.1
enabled,[yoga camps packages in Leh],Exact,Longtail India - Leh,Longtail Retreats Leh,0.2,0.1
enabled,[Kent yoga training packages],Exact,Longtail United Kingdom - Kent,Longtail Retreats Kent,0.2,0.1
enabled,[yoga resort retreats Sidemen],Exact,Longtail Indonesia - Sidemen,Longtail Retreats Sidemen,0.2,0.1
enabled,[yoga centers resort Kuta North],Exact,Longtail Indonesia - Kuta North,Longtail Retreats Kuta North,0.3,0.1
enabled,[Peru yoga camp package],Exact,Longtail Peru,Longtail Retreats Peru,0.45,0.1
enabled,[yoga trainings resorts in Orgiva],Exact,Longtail Spain - Orgiva,Longtail Retreats Orgiva,0.3,0.1
enabled,[yoga trainings retreat in Roatan],Exact,Longtail Honduras - Roatan,Longtail Retreats Roatan,0.2,0.1
enabled,[Taghazout yoga retreat resorts],Exact,Longtail Morocco - Taghazout,Longtail Retreats Taghazout,0.4,0.1
enabled,[yoga trainings resort in Lajares],Exact,Longtail Spain - Lajares,Longtail Retreats Lajares,0.25,0.1
enabled,[yoga centre retreat La Punta],Exact,Longtail Mexico - La Punta,Longtail Retreats La Punta,0.2,0.1
enabled,[yoga package retreats in Puno],Exact,Longtail Peru - Puno,Longtail Retreats Puno,0.2,0.1
enabled,[yoga training deal in Nosara],Exact,Longtail Costa Rica - Nosara,Longtail Retreats Nosara,0.3,0.1
enabled,[yoga vacations resort Polis],Exact,Longtail Cyprus - Polis,Longtail Retreats Polis,0.2,0.1
enabled,[yoga retreat in Huacas],Exact,Longtail Costa Rica - Huacas,Longtail Retreats Huacas,0.2,0.1
enabled,[Auroville yoga training],Exact,Longtail India - Auroville,Longtail Retreats Auroville,0.25,0.1
enabled,[Laguna de Apoyo yoga centers packages],Exact,Longtail Nicaragua - Laguna de Apoyo,Longtail Retreats Laguna de Apoyo,0.2,0.1
enabled,[Limón yoga centers deals],Exact,Longtail Costa Rica - Limón,Longtail Retreats Limón,0.35,0.1
enabled,[Koh Yao Archipelago yoga deals retreats],Exact,Longtail Thailand - Koh Yao Archipelago,Longtail Retreats Koh Yao Archipelago,0.2,0.1
enabled,[Assisi yoga vacation deals],Exact,Longtail Italy - Assisi,Longtail Retreats Assisi,0.2,0.1
enabled,[yoga packages retreats in Mafra],Exact,Longtail Portugal - Mafra,Longtail Retreats Mafra,0.25,0.1
enabled,[Dhulikhel yoga retreats resorts],Exact,Longtail Nepal - Dhulikhel,Longtail Retreats Dhulikhel,0.2,0.1
enabled,[Alicante yoga packages resorts],Exact,Longtail Spain - Alicante,Longtail Retreats Alicante,0.5,0.1
enabled,[Echo Beach yoga training],Exact,Longtail Indonesia - Echo Beach,Longtail Retreats Echo Beach,0.2,0.1
enabled,[yoga center retreat in Abel Tasman National Park],Exact,Longtail New Zealand - Abel Tasman National Park,Longtail Retreats Abel Tasman National Park,0.2,0.1
enabled,[South West England yoga trainings],Exact,Longtail United Kingdom - South West England,Longtail Retreats South West England,0.25,0.1
enabled,[yoga resorts Buckingham],Exact,Longtail USA - Buckingham,Longtail Retreats Buckingham,0.25,0.1
enabled,[Tel Aviv yoga retreats deals],Exact,Longtail Israel - Tel Aviv,Longtail Retreats Tel Aviv,0.2,0.1
