Keyword state,Keyword,Match type,Campaign,Ad group,Keyword max CPC,Ad group max CPC
enabled,[Murcia yoga training],Exact,Longtail Spain - Murcia,Longtail Retreats Murcia,0.3,0.1
enabled,[yoga centre deals in Israel],Exact,Longtail Israel,Longtail Retreats Israel,0.25,0.1
enabled,[yoga camp retreat in Chowara],Exact,Longtail India - Chowara,Longtail Retreats Chowara,0.25,0.1
enabled,[Uttar Pradesh yoga retreats resorts],Exact,Longtail India - Uttar Pradesh,Longtail Retreats Uttar Pradesh,0.3,0.1
enabled,[yoga retreats packages in Eleuthera],Exact,Longtail Bahamas - Eleuthera,Longtail Retreats Eleuthera,0.2,0.1
enabled,[yoga vacation deals in Mala Lake],Exact,Longtail India - Mala Lake,Longtail Retreats Mala Lake,0.2,0.1
enabled,[yoga resort packages in Cavriglia],Exact,Longtail Italy - Cavriglia,Longtail Retreats Cavriglia,0.2,0.1
enabled,[yoga resort deal San Juanillo],Exact,Longtail Costa Rica - San Juanillo,Longtail Retreats San Juanillo,0.2,0.1
enabled,[yoga camps resort in Mala Lake],Exact,Longtail India - Mala Lake,Longtail Retreats Mala Lake,0.2,0.1
enabled,[Sabine Hills yoga retreat],Exact,Longtail Italy - Sabine Hills,Longtail Retreats Sabine Hills,0.2,0.1
enabled,[yoga retreats Berawa Beach],Exact,Longtail Indonesia - Berawa Beach,Longtail Retreats Berawa Beach,0.25,0.1
enabled,[yoga vacation retreats in Aragon],Exact,Longtail Spain - Aragon,Longtail Retreats Aragon,0.2,0.1
enabled,[yoga vacation deal Czech Republic],Exact,Longtail Czech Republic,Longtail Retreats Czech Republic,0.25,0.1
enabled,[yoga vacations packages Tanzania],Exact,Longtail Tanzania,Longtail Retreats Tanzania,0.3,0.1
enabled,[yoga training deal in Kuta],Exact,Longtail Indonesia - Kuta,Longtail Retreats Kuta,0.3,0.1
enabled,[yoga vacations in Quepos],Exact,Longtail Costa Rica - Quepos,Longtail Retreats Quepos,0.25,0.1
enabled,[yoga centre resort Rhône Alpes],Exact,Longtail France - Rhône-Alpes,Longtail Retreats Rhône-Alpes,0.2,0.1
enabled,[yoga centres resorts in Lanjarón],Exact,Longtail Spain - Lanjarón,Longtail Retreats Lanjarón,0.2,0.1
enabled,[yoga training package in Murcia],Exact,Longtail Spain - Murcia,Longtail Retreats Murcia,0.3,0.1
enabled,[yoga trainings resort Barcelona],Exact,Longtail Spain - Barcelona,Longtail Retreats Barcelona,0.3,0.1
enabled,[yoga trainings deals Loule],Exact,Longtail Portugal - Loule,Longtail Retreats Loule,0.25,0.1
enabled,[Pucon yoga vacation],Exact,Longtail Chile - Pucon,Longtail Retreats Pucon,0.2,0.1
enabled,[yoga package resorts in Amazon],Exact,Longtail Peru - Amazon,Longtail Retreats Amazon,0.2,0.1
enabled,[Lakshman Jhula yoga vacation],Exact,Longtail India - Lakshman Jhula,Longtail Retreats Lakshman Jhula,0.5,0.1
enabled,[yoga training retreats Mimizan],Exact,Longtail France - Mimizan,Longtail Retreats Mimizan,0.2,0.1
enabled,[yoga vacations resorts Jalisco],Exact,Longtail Mexico - Jalisco,Longtail Retreats Jalisco,0.25,0.1
enabled,[Gulf of Thailand yoga packages deals],Exact,Longtail Thailand - Gulf of Thailand,Longtail Retreats Gulf of Thailand,0.2,0.1
enabled,[yoga training Pak Song],Exact,Longtail Thailand - Pak Song,Longtail Retreats Pak Song,0.25,0.1
enabled,[yoga deal Andes],Exact,Longtail Ecuador - Andes,Longtail Retreats Andes,0.2,0.1
enabled,[yoga centers resorts Bahia],Exact,Longtail Brazil - Bahia,Longtail Retreats Bahia,0.2,0.1
enabled,[Delhi yoga trainings package],Exact,Longtail India - Delhi,Longtail Retreats Delhi,0.35,0.1
enabled,[yoga centre resort in Sukawati],Exact,Longtail Indonesia - Sukawati,Longtail Retreats Sukawati,0.25,0.1
enabled,[Andaman Sea area yoga packages resort],Exact,Longtail Thailand - Andaman Sea area,Longtail Retreats Andaman Sea area,0.2,0.1
enabled,[yoga retreat Hvar],Exact,Longtail Croatia - Hvar,Longtail Retreats Hvar,0.25,0.1
enabled,[Auroville yoga resort packages],Exact,Longtail India - Auroville,Longtail Retreats Auroville,0.25,0.1
enabled,[South Africa yoga camp retreat],Exact,Longtail South Africa,Longtail Retreats South Africa,0.3,0.1
enabled,[Tapovan yoga deals package],Exact,Longtail India - Tapovan,Longtail Retreats Tapovan,0.4,0.1
enabled,[Hohe Tauern National Park yoga packages],Exact,Longtail Austria - Hohe Tauern National Park,Longtail Retreats Hohe Tauern National Park,0.2,0.1
enabled,[Jharkhand yoga trainings packages],Exact,Longtail India - Jharkhand,Longtail Retreats Jharkhand,0.2,0.1
enabled,[Spanish Pyrenees yoga packages],Exact,Longtail Spain - Spanish Pyrenees,Longtail Retreats Spanish Pyrenees,0.25,0.1
enabled,[yoga resort retreats in San Teodoro],Exact,Longtail Italy - San Teodoro,Longtail Retreats San Teodoro,0.2,0.1
enabled,[Rome yoga centres retreat],Exact,Longtail Italy - Rome,Longtail Retreats Rome,0.2,0.1
enabled,[yoga package retreats in Brac],Exact,Longtail Croatia - Brac,Longtail Retreats Brac,0.2,0.1
enabled,[West Greece yoga center resort],Exact,Longtail Greece - West Greece,Longtail Retreats West Greece,0.2,0.1
enabled,[yoga center resorts in County Clare],Exact,Longtail Ireland - County Clare,Longtail Retreats County Clare,0.2,0.1
enabled,[Peru yoga centre retreats],Exact,Longtail Peru,Longtail Retreats Peru,0.45,0.1
enabled,[Barcelona yoga centre deal],Exact,Longtail Spain - Barcelona,Longtail Retreats Barcelona,0.3,0.1
enabled,[yoga deals Doi Saket],Exact,Longtail Thailand - Doi Saket,Longtail Retreats Doi Saket,0.2,0.1
enabled,[yoga resort retreat in Dubrovnik],Exact,Longtail Croatia - Dubrovnik,Longtail Retreats Dubrovnik,0.2,0.1
enabled,[yoga centre deal in Vermont],Exact,Longtail USA - Vermont,Longtail Retreats Vermont,0.25,0.1
enabled,[yoga centres resorts in Thirsk],Exact,Longtail United Kingdom - Thirsk,Longtail Retreats Thirsk,0.2,0.1
enabled,[Tamraght yoga resort retreats],Exact,Longtail Morocco - Tamraght,Longtail Retreats Tamraght,0.45,0.1
enabled,[Tauranga yoga resorts deal],Exact,Longtail New Zealand - Tauranga,Longtail Retreats Tauranga,0.2,0.1
enabled,[Ecuador yoga retreat resorts],Exact,Longtail Ecuador,Longtail Retreats Ecuador,0.35,0.1
enabled,[yoga resort retreat Tinajo],Exact,Longtail Spain - Tinajo,Longtail Retreats Tinajo,0.2,0.1
enabled,[yoga packages deals Alpujarras],Exact,Longtail Spain - Alpujarras,Longtail Retreats Alpujarras,0.3,0.1
enabled,[yoga vacations deal in Aguas Calientes],Exact,Longtail Peru - Aguas Calientes,Longtail Retreats Aguas Calientes,0.25,0.1
enabled,[Pisac yoga resort retreat],Exact,Longtail Peru - Pisac,Longtail Retreats Pisac,0.2,0.1
enabled,[yoga packages resorts Ranong],Exact,Longtail Thailand - Ranong,Longtail Retreats Ranong,0.2,0.1
enabled,[yoga centres resort Sierra Espuna Mountains],Exact,Longtail Spain - Sierra Espuna Mountains,Longtail Retreats Sierra Espuna Mountains,0.25,0.1
enabled,[yoga packages retreats Independence Beach],Exact,Longtail Cambodia - Independence Beach,Longtail Retreats Independence Beach,0.2,0.1
enabled,[yoga retreats deal Madeira],Exact,Longtail Portugal - Madeira,Longtail Retreats Madeira,0.2,0.1
enabled,[yoga vacations deal in Skinnskatteberg],Exact,Longtail Sweden - Skinnskatteberg,Longtail Retreats Skinnskatteberg,0.2,0.1
enabled,[yoga centre resorts Quebec],Exact,Longtail Canada - Quebec,Longtail Retreats Quebec,0.25,0.1
enabled,[Ezeiza yoga package resorts],Exact,Longtail Argentina - Ezeiza,Longtail Retreats Ezeiza,0.2,0.1
enabled,[Pisa yoga deals package],Exact,Longtail Italy - Pisa,Longtail Retreats Pisa,0.2,0.1
enabled,[Nayarit yoga package deal],Exact,Longtail Mexico - Nayarit,Longtail Retreats Nayarit,0.25,0.1
enabled,[yoga vacation resort in Huerta de Murcia],Exact,Longtail Spain - Huerta de Murcia,Longtail Retreats Huerta de Murcia,0.2,0.1
enabled,[Coromandel yoga deals resorts],Exact,Longtail New Zealand - Coromandel,Longtail Retreats Coromandel,0.2,0.1
enabled,[yoga trainings deals in Estoril],Exact,Longtail Portugal - Estoril,Longtail Retreats Estoril,0.3,0.1
enabled,[yoga deals resort Gwynedd],Exact,Longtail United Kingdom - Gwynedd,Longtail Retreats Gwynedd,0.2,0.1
enabled,[Krabi yoga centres retreats],Exact,Longtail Thailand - Krabi,Longtail Retreats Krabi,0.25,0.1
enabled,[Kathmandu Valley yoga camps resort],Exact,Longtail Nepal - Kathmandu Valley,Longtail Retreats Kathmandu Valley,0.25,0.1
enabled,[Mambajao yoga camps deals],Exact,Longtail Philippines - Mambajao,Longtail Retreats Mambajao,0.2,0.1
enabled,[yoga centre resorts Payangan],Exact,Longtail Indonesia - Payangan,Longtail Retreats Payangan,0.2,0.1
enabled,[yoga resorts retreat Lanzarote],Exact,Longtail Spain - Lanzarote,Longtail Retreats Lanzarote,0.25,0.1
