Keyword state,Keyword,Match type,Campaign,Ad group,Keyword max CPC,Ad group max CPC
enabled,[yoga resorts retreat in Tejina],Exact,Longtail Spain - Tejina,Longtail Retreats Tejina,0.2,0.1
enabled,[yoga vacation deals El Salvador],Exact,Longtail El Salvador,Longtail Retreats El Salvador,0.2,0.1
enabled,[Sri Thanu yoga centres resorts],Exact,Longtail Thailand - Sri Thanu,Longtail Retreats Sri Thanu,0.35,0.1
enabled,[yoga centres resort Sagres],Exact,Longtail Portugal - Sagres,Longtail Retreats Sagres,0.3,0.1
enabled,[yoga trainings package Mafra],Exact,Longtail Portugal - Mafra,Longtail Retreats Mafra,0.25,0.1
enabled,[yoga resorts packages in Corralejo],Exact,Longtail Spain - Corralejo,Longtail Retreats Corralejo,0.25,0.1
enabled,[yoga centers retreats Kalamos],Exact,Longtail Greece - Kalamos,Longtail Retreats Kalamos,0.2,0.1
enabled,[yoga centres deal in Na Muang],Exact,Longtail Thailand - Na Muang,Longtail Retreats Na Muang,0.35,0.1
enabled,[yoga trainings retreats in Siena],Exact,Longtail Italy - Siena,Longtail Retreats Siena,0.3,0.1
enabled,[Malaysia yoga camp retreat],Exact,Longtail Malaysia,Longtail Retreats Malaysia,0.35,0.1
enabled,[Andalusia yoga retreats deal],Exact,Longtail Spain - Andalusia,Longtail Retreats Andalusia,0.5,0.1
enabled,[yoga deal retreat Berawa Beach],Exact,Longtail Indonesia - Berawa Beach,Longtail Retreats Berawa Beach,0.25,0.1
enabled,[Tejakula yoga trainings deals],Exact,Longtail Indonesia - Tejakula,Longtail Retreats Tejakula,0.25,0.1
enabled,[yoga packages resort Minorca],Exact,Longtail Spain - Minorca,Longtail Retreats Minorca,0.2,0.1
enabled,[Seville yoga package deal],Exact,Longtail Spain - Seville,Longtail Retreats Seville,0.25,0.1
enabled,[Todos Santos yoga centre package],Exact,Longtail Mexico - Todos Santos,Longtail Retreats Todos Santos,0.25,0.1
enabled,[yoga resorts in Lycian Coast],Exact,Longtail Turkey - Lycian Coast,Longtail Retreats Lycian Coast,0.2,0.1
enabled,[yoga centres resorts Bavaria],Exact,Longtail Germany - Bavaria,Longtail Retreats Bavaria,0.2,0.1
enabled,[yoga training retreat in Santa Cruz La Laguna],Exact,Longtail Guatemala - Santa Cruz La Laguna,Longtail Retreats Santa Cruz La Laguna,0.2,0.1
enabled,[yoga vacation resort Junas Waddo],Exact,Longtail India - Junas Waddo,Longtail Retreats Junas Waddo,0.3,0.1
enabled,[yoga training resort in Ashwem],Exact,Longtail India - Ashwem,Longtail Retreats Ashwem,0.25,0.1
enabled,[yoga deal retreats in Roatan],Exact,Longtail Honduras - Roatan,Longtail Retreats Roatan,0.2,0.1
enabled,[yoga retreat package Khajuraho],Exact,Longtail India - Khajuraho,Longtail Retreats Khajuraho,0.2,0.1
