Keyword state,Keyword,Match type,Campaign,Ad group,Keyword max CPC,Ad group max CPC
enabled,[Ontario yoga deals resort],Exact,Longtail Canada - Ontario,Longtail Retreats Ontario,0.25,0.1
enabled,[yoga trainings Cannes],Exact,Longtail France - Cannes,Longtail Retreats Cannes,0.2,0.1
enabled,[yoga resorts packages Dalyan],Exact,Longtail Turkey - Dalyan,Longtail Retreats Dalyan,0.25,0.1
enabled,[yoga resort packages Mediterranean Sea],Exact,Longtail Italy - Mediterranean Sea,Longtail Retreats Mediterranean Sea,0.2,0.1
enabled,[yoga training package in Schleswig Holstein],Exact,Longtail Germany - Schleswig-Holstein,Longtail Retreats Schleswig-Holstein,0.25,0.1
enabled,[yoga camps San Pablo],Exact,Longtail Costa Rica - San Pablo,Longtail Retreats San Pablo,0.25,0.1
enabled,[yoga packages resort in Chiang Mai],Exact,Longtail Thailand - Chiang Mai,Longtail Retreats Chiang Mai,0.35,0.1
enabled,[Glastonbury yoga camp packages],Exact,Longtail United Kingdom - Glastonbury,Longtail Retreats Glastonbury,0.2,0.1
enabled,[yoga package retreat West Nusa Tenggara],Exact,Longtail Indonesia - West Nusa Tenggara,Longtail Retreats West Nusa Tenggara,0.25,0.1
enabled,[Morjim yoga camp deal],Exact,Longtail India - Morjim,Longtail Retreats Morjim,0.2,0.1
enabled,[Bahia yoga centre packages],Exact,Longtail Brazil - Bahia,Longtail Retreats Bahia,0.2,0.1
enabled,[Surrey yoga centers retreats],Exact,Longtail United Kingdom - Surrey,Longtail Retreats Surrey,0.2,0.1
enabled,[West Greece yoga package deal],Exact,Longtail Greece - West Greece,Longtail Retreats West Greece,0.2,0.1
enabled,[yoga resort retreats Southern California],Exact,Longtail USA - Southern California,Longtail Retreats Southern California,0.4,0.1
enabled,[yoga vacation deals in Lasko],Exact,Longtail Slovenia - Lasko,Longtail Retreats Lasko,0.2,0.1
enabled,[yoga centers deal Cahuita],Exact,Longtail Costa Rica - Cahuita,Longtail Retreats Cahuita,0.25,0.1
enabled,[Paros yoga deal resorts],Exact,Longtail Greece - Paros,Longtail Retreats Paros,0.3,0.1
enabled,[yoga resorts deal in Haridwar],Exact,Longtail India - Haridwar,Longtail Retreats Haridwar,0.3,0.1
enabled,[Southern France yoga retreat],Exact,Longtail France - Southern France,Longtail Retreats Southern France,0.25,0.1
enabled,[Anaga Mountains yoga deals],Exact,Longtail Spain - Anaga Mountains,Longtail Retreats Anaga Mountains,0.2,0.1
enabled,[yoga center package in Garabito],Exact,Longtail Costa Rica - Garabito,Longtail Retreats Garabito,0.2,0.1
enabled,[yoga retreat resorts Tumbaco],Exact,Longtail Ecuador - Tumbaco,Longtail Retreats Tumbaco,0.25,0.1
enabled,[Sierra yoga camps resort],Exact,Longtail USA - Sierra,Longtail Retreats Sierra,0.2,0.1
enabled,[Huacas yoga centres retreats],Exact,Longtail Costa Rica - Huacas,Longtail Retreats Huacas,0.2,0.1
enabled,[yoga centre retreats in Central Coast],Exact,Longtail Australia - Central Coast,Longtail Retreats Central Coast,0.2,0.1
enabled,[Nai Harn Beach yoga center resort],Exact,Longtail Thailand - Nai Harn Beach,Longtail Retreats Nai Harn Beach,0.2,0.1
enabled,[yoga camps packages Savusavu],Exact,Longtail Fiji - Savusavu,Longtail Retreats Savusavu,0.25,0.1
enabled,[yoga center package in Landes],Exact,Longtail France - Landes,Longtail Retreats Landes,0.25,0.1
enabled,[Anta yoga resort deals],Exact,Longtail Peru - Anta,Longtail Retreats Anta,0.2,0.1
enabled,[yoga centre resort San Juanillo],Exact,Longtail Costa Rica - San Juanillo,Longtail Retreats San Juanillo,0.2,0.1
enabled,[yoga trainings deals Suffolk Park],Exact,Longtail Australia - Suffolk Park,Longtail Retreats Suffolk Park,0.2,0.1
enabled,[yoga retreats packages Jorox],Exact,Longtail Spain - Jorox,Longtail Retreats Jorox,0.2,0.1
enabled,[yoga package deal Rivas],Exact,Longtail Nicaragua - Rivas,Longtail Retreats Rivas,0.3,0.1
enabled,[Haute Savoie yoga packages resort],Exact,Longtail France - Haute-Savoie,Longtail Retreats Haute-Savoie,0.25,0.1
enabled,[yoga vacations resort Loja],Exact,Longtail Ecuador - Loja,Longtail Retreats Loja,0.2,0.1
enabled,[yoga resort deals Japan],Exact,Longtail Japan,Longtail Retreats Japan,0.2,0.1
enabled,[Essert Romand yoga resorts retreats],Exact,Longtail France - Essert-Romand,Longtail Retreats Essert-Romand,0.2,0.1
enabled,[Pinhal Interior Sul yoga trainings resorts],Exact,Longtail Portugal - Pinhal Interior Sul,Longtail Retreats Pinhal Interior Sul,0.25,0.1
enabled,[Cuba yoga package deal],Exact,Longtail Cuba,Longtail Retreats Cuba,0.2,0.1
enabled,[yoga resorts retreats Punakha],Exact,Longtail Bhutan - Punakha,Longtail Retreats Punakha,0.2,0.1
enabled,[yoga centres resorts Dubrovnik Neretva County],Exact,Longtail Croatia - Dubrovnik-Neretva County,Longtail Retreats Dubrovnik-Neretva County,0.2,0.1
enabled,[yoga package retreats Pellenberg],Exact,Longtail Belgium - Pellenberg,Longtail Retreats Pellenberg,0.25,0.1
enabled,[yoga centre packages in Styria],Exact,Longtail Austria - Styria,Longtail Retreats Styria,0.2,0.1
